match_id,league_name,country_name,home_team,away_team,start_time
10640495,"UEFA Champions League, Group A",Europe,Liverpool,AFC Ajax,2022-09-14 04:00:00
10640494,"UEFA Champions League, Group A",Europe,Rangers,Napoli,2022-09-15 04:00:00
10640489,"UEFA Champions League, Group B",Europe,Bayer 04 Leverkusen,Atlético Madrid,2022-09-14 04:00:00
10640486,"UEFA Champions League, Group B",Europe,FC Porto,Club Brugge KV,2022-09-14 04:00:00
10640492,"UEFA Champions League, Group C",Europe,Viktoria Plzeň,Inter,2022-09-14 01:45:00
10640493,"UEFA Champions League, Group C",Europe,FC Bayern München,Barcelona,2022-09-14 04:00:00
10640488,"UEFA Champions League, Group D",Europe,Sporting,Tottenham Hotspur,2022-09-14 01:45:00
10640487,"UEFA Champions League, Group D",Europe,Olympique de Marseille,Eintracht Frankfurt,2022-09-14 04:00:00
10640485,"UEFA Champions League, Group E",Europe,Milan,GNK Dinamo Zagreb,2022-09-15 01:45:00
10640490,"UEFA Champions League, Group E",Europe,Chelsea,Red Bull Salzburg,2022-09-15 04:00:00
10640480,"UEFA Champions League, Group F",Europe,Shakhtar Donetsk,Celtic,2022-09-15 01:45:00
10640491,"UEFA Champions League, Group F",Europe,Real Madrid,RB Leipzig,2022-09-15 04:00:00
10640477,"UEFA Champions League, Group G",Europe,FC København,Sevilla,2022-09-15 04:00:00
10640484,"UEFA Champions League, Group G",Europe,Manchester City,Borussia Dortmund,2022-09-15 04:00:00
10640482,"UEFA Champions League, Group H",Europe,Juventus,Benfica,2022-09-15 04:00:00
10640481,"UEFA Champions League, Group H",Europe,Maccabi Haifa,Paris Saint-Germain,2022-09-15 04:00:00
