team_id,team_name,slug,image_url,league,season
43840,Ludogorets,ludogorets,https://api.sofascore.app/api/v1/team/43840/image,UEFA Champions League,2019/2020
262229,FC Ararat-Armenia,fc-ararat-armenia,https://api.sofascore.app/api/v1/team/262229/image,UEFA Champions League,2019/2020
8091,Nõmme Kalju,nomme-kalju,https://api.sofascore.app/api/v1/team/8091/image,UEFA Champions League,2019/2020
2501,Basel,basel,https://api.sofascore.app/api/v1/team/2501/image,UEFA Champions League,2019/2020
3245,Olympiacos FC,olympiacos-fc,https://api.sofascore.app/api/v1/team/3245/image,UEFA Champions League,2019/2020
4912,Connah's Quay Nomads,connahs-quay-nomads,https://api.sofascore.app/api/v1/team/4912/image,UEFA Champions League,2019/2020
1759,Djurgårdens IF,djurgardens-if,https://api.sofascore.app/api/v1/team/1759/image,UEFA Champions League,2019/2020
3086,Başakşehir FK,basaksehir-fk,https://api.sofascore.app/api/v1/team/3086/image,UEFA Champions League,2019/2020
5287,CFR 1907 Cluj,cfr-1907-cluj,https://api.sofascore.app/api/v1/team/5287/image,UEFA Champions League,2019/2020
2055,SK Rapid Wien,sk-rapid-wien,https://api.sofascore.app/api/v1/team/2055/image,UEFA Champions League,2019/2020
36155,Astana,astana,https://api.sofascore.app/api/v1/team/36155/image,UEFA Champions League,2019/2020
2686,Atalanta,atalanta,https://api.sofascore.app/api/v1/team/2686/image,UEFA Champions League,2019/2020
162368,Riga FC,riga-fc,https://api.sofascore.app/api/v1/team/162368/image,UEFA Champions League,2019/2020
5407,FK Sileks Kratovo,fk-sileks-kratovo,https://api.sofascore.app/api/v1/team/5407/image,UEFA Champions League,2019/2020
5207,F91 Dudelange,f91-dudelange,https://api.sofascore.app/api/v1/team/5207/image,UEFA Champions League,2019/2020
5173,Sheriff Tiraspol,sheriff,https://api.sofascore.app/api/v1/team/5173/image,UEFA Champions League,2019/2020
2888,Club Brugge KV,club-brugge-kv,https://api.sofascore.app/api/v1/team/2888/image,UEFA Champions League,2019/2020
2420,NK Maribor,nk-maribor,https://api.sofascore.app/api/v1/team/2420/image,UEFA Champions League,2019/2020
5187,HB Tórshavn,havnar-boltfelag,https://api.sofascore.app/api/v1/team/5187/image,UEFA Champions League,2019/2020
116312,FC Iberia 1999,fc-iberia-1999,https://api.sofascore.app/api/v1/team/116312/image,UEFA Champions League,2019/2020
1649,Olympique Lyonnais,olympique-lyonnais,https://api.sofascore.app/api/v1/team/1649/image,UEFA Champions League,2019/2020
4921,The New Saints,the-new-saints,https://api.sofascore.app/api/v1/team/4921/image,UEFA Champions League,2019/2020
2413,NK Celje,nk-celje,https://api.sofascore.app/api/v1/team/2413/image,UEFA Champions League,2019/2020
1161,Rosenborg BK,rosenborg-bk,https://api.sofascore.app/api/v1/team/1161/image,UEFA Champions League,2019/2020
1925,Ferencváros TC,ferencvaros-tc,https://api.sofascore.app/api/v1/team/1925/image,UEFA Champions League,2019/2020
2404,ŠK Slovan Bratislava,sk-slovan-bratislava,https://api.sofascore.app/api/v1/team/2404/image,UEFA Champions League,2019/2020
2953,AFC Ajax,ajax,https://api.sofascore.app/api/v1/team/2953/image,UEFA Champions League,2019/2020
5171,Dinamo Tbilisi,dinamo-tbilisi,https://api.sofascore.app/api/v1/team/5171/image,UEFA Champions League,2019/2020
3251,PAOK,paok,https://api.sofascore.app/api/v1/team/3251/image,UEFA Champions League,2019/2020
2032,GNK Dinamo Zagreb,gnk-dinamo-zagreb,https://api.sofascore.app/api/v1/team/2032/image,UEFA Champions League,2019/2020
229755,FC Drita,fc-drita,https://api.sofascore.app/api/v1/team/229755/image,UEFA Champions League,2019/2020
5272,Linfield FC,linfield-fc,https://api.sofascore.app/api/v1/team/5272/image,UEFA Champions League,2019/2020
36195,SP Tre Fiori,sp-tre-fiori,https://api.sofascore.app/api/v1/team/36195/image,UEFA Champions League,2019/2020
